elapsed_seconds,timestamp,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_w,utilization_percent
402.7618477344513,2026/09/18 11:23:40.293,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.64,96
407.79510831832886,2026/09/18 11:23:45.326,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.67,96
412.82812333106995,2026/09/18 11:23:50.361,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.92,96
417.86224269866943,2026/09/18 11:23:55.393,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.67,95
422.895067691803,2026/09/18 11:24:00.425,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.79,96
427.9273076057434,2026/09/18 11:24:05.458,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,163.08,96
432.96030592918396,2026/09/18 11:24:10.491,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.74,96
437.9936761856079,2026/09/18 11:24:15.524,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.38,96
443.0271601676941,2026/09/18 11:24:20.559,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.11,96
448.0615699291229,2026/09/18 11:24:25.593,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.75,96
453.09459686279297,2026/09/18 11:24:30.626,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.84,96
458.12857937812805,2026/09/18 11:24:35.660,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,163.23,96
463.16247487068176,2026/09/18 11:24:40.694,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,163.33,96
468.19588446617126,2026/09/18 11:24:45.728,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.45,96
473.23058700561523,2026/09/18 11:24:50.762,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.57,96
478.26521587371826,2026/09/18 11:24:55.797,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.71,96
483.29871225357056,2026/09/18 11:25:00.829,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.74,96
488.33163261413574,2026/09/18 11:25:05.863,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.32,96
493.36527037620544,2026/09/18 11:25:10.896,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.24,96
498.39877128601074,2026/09/18 11:25:15.929,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.52,96
503.4304678440094,2026/09/18 11:25:20.961,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.59,96
508.46327114105225,2026/09/18 11:25:25.994,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.37,96
513.4962255954742,2026/09/18 11:25:31.027,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.26,95
518.5284152030945,2026/09/18 11:25:36.059,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.37,96
523.5620062351227,2026/09/18 11:25:41.094,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.09,95
528.5963938236237,2026/09/18 11:25:46.128,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.19,96
533.6297209262848,2026/09/18 11:25:51.160,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,161.84,94
538.6627838611603,2026/09/18 11:25:56.193,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.43,95
543.6961951255798,2026/09/18 11:26:01.227,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.56,96
548.7298498153687,2026/09/18 11:26:06.261,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.29,95
553.7634000778198,2026/09/18 11:26:11.293,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.24,96
558.7952692508698,2026/09/18 11:26:16.326,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.75,96
563.8284788131714,2026/09/18 11:26:21.360,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.65,96
568.8622169494629,2026/09/18 11:26:26.393,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.14,95
573.8958849906921,2026/09/18 11:26:31.427,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.74,95
578.9292094707489,2026/09/18 11:26:36.460,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,61,162.83,96
583.9622106552124,2026/09/18 11:26:41.493,GPU-af815c34-e868-2ca8-0057-81c8ac28573e,2632,13801,62,162.54,96
